date,open,high,low,close,volume,turnover,code,name
1/8/2023,6599.12,6616.76,6562.03,6616.38,22878621,1004347669,TMTI,المواد الأساسية
31/07/2023,6658.07,6658.07,6578.32,6616.38,23360346,1026878713,TMTI,المواد الأساسية
30/07/2023,6669.15,6716,6644.14,6660.65,23853541,1334015175,TMTI,المواد الأساسية
27/07/2023,6629.77,6662.05,6605.49,6648.92,26819245,1299617554,TMTI,المواد الأساسية
26/07/2023,6545.2,6633.5,6522.51,6628.21,33874077,1328142748,TMTI,المواد الأساسية
25/07/2023,6551.78,6559.66,6525.97,6545.15,24479288,1044433691,TMTI,المواد الأساسية
24/07/2023,6514.22,6547.19,6503.96,6525.53,18918729,735557572.1,TMTI,المواد الأساسية
23/07/2023,6495.73,6511.35,6463.75,6507.51,17779168,598047364.9,TMTI,المواد الأساسية
20/07/2023,6536.52,6539.1,6486.78,6494.32,21432117,915441767.5,TMTI,المواد الأساسية
19/07/2023,6570.8,6576.36,6530.1,6531.98,16857152,703390949,TMTI,المواد الأساسية
18/07/2023,6641.69,6648.73,6549.9,6575.91,27814879,957295764.1,TMTI,المواد الأساسية
17/07/2023,6655.66,6656.6,6614.61,6640.03,26349821,965954303.2,TMTI,المواد الأساسية
16/07/2023,6699.79,6714.93,6668.1,6671.78,23586335,789436540.8,TMTI,المواد الأساسية
13/07/2023,6692.89,6717.06,6683.33,6691.05,42891261,1064445938,TMTI,المواد الأساسية
12/7/2023,6683.54,6706.24,6672.23,6674.25,31093287,1024107376,TMTI,المواد الأساسية
11/7/2023,6700.67,6718.49,6677.28,6678.76,27872243,1046547678,TMTI,المواد الأساسية
10/7/2023,6733.46,6750.31,6695.67,6695.67,37395158,1293579759,TMTI,المواد الأساسية
9/7/2023,6686.43,6734.7,6677.93,6730.88,39368221,1322383756,TMTI,المواد الأساسية
6/7/2023,6718.11,6731.59,6689.19,6704.12,31598349,1120419281,TMTI,المواد الأساسية
5/7/2023,6682.83,6750.66,6681.82,6715.18,34075467,1457585376,TMTI,المواد الأساسية
4/7/2023,6663.06,6688.96,6654.36,6688.96,25605288,1000518446,TMTI,المواد الأساسية
3/7/2023,6692.7,6698.07,6644.53,6669,28706403,1122899319,TMTI,المواد الأساسية
2/7/2023,6649.38,6684.22,6649.38,6684.22,21370179,843748922.2,TMTI,المواد الأساسية
22/06/2023,6619.84,6629.6,6609.83,6625.07,25132849,869854436.6,TMTI,المواد الأساسية
21/06/2023,6599.52,6612.9,6582.89,6612.9,19758749,713206578.3,TMTI,المواد الأساسية
20/06/2023,6580.91,6594.54,6551.68,6594.54,21927861,783365060.2,TMTI,المواد الأساسية
19/06/2023,6648.38,6648.38,6581.26,6592.62,30508181,1054821598,TMTI,المواد الأساسية
18/06/2023,6636.96,6657.27,6636.52,6645.33,28976452,826808402.8,TMTI,المواد الأساسية
15/06/2023,6641.2,6648.15,6621.58,6621.58,40665577,1633043603,TMTI,المواد الأساسية
14/06/2023,6612.22,6653.53,6610.43,6634.34,36298836,1089070508,TMTI,المواد الأساسية
13/06/2023,6642.41,6647.98,6605.01,6605.01,42706575,1290887023,TMTI,المواد الأساسية
12/6/2023,6606.93,6653.15,6589.28,6650.97,41281361,1416642722,TMTI,المواد الأساسية
11/6/2023,6628.74,6633.13,6610.46,6623.04,26657235,899774893.9,TMTI,المواد الأساسية
8/6/2023,6631.22,6657.77,6599.42,6623.53,34367515,1306059163,TMTI,المواد الأساسية
